Name,"# Educational Attainment | High school graduate (includes equivalency), 2020 [Estimated]","# Employment Status | In labor force, 2020 [Estimated]","# Total Population, 2020 [Estimated]","# Vehicles Available | No vehicle available, 2020 [Estimated]","# Vehicles Available | Occupied housing units, 2020 [Estimated]","% Educational Attainment | High school graduate (includes equivalency), 2020 [Estimated]","% Employment Status | In labor force, 2020 [Estimated]","% Poverty Status by Age | In Poverty, 2020 [Estimated]","% Purchasing: By Internet: In last 12 months: Food (Groceries), 2020","% Purchasing: Catalog And Internet, Phone & Mail Shopping - Amount Spent In Total: $800+, 2020","% Purchasing: Catalog And Internet, Phone & Mail Shopping - Amount Spent In Total: Less than $50, 2020","% Sadness - Some of the time, 2020","% Sadness- All or most of the time, 2020","% Transportation to Work |  Public transportation, 2020 [Estimated]","% Transportation to Work | Car, truck, or van, 2020 [Estimated]","% Transportation to Work | Worked at home, 2020 [Estimated]","% Vehicles Available | No vehicle available, 2020 [Estimated]","Average annual expenditures (Household average), 2020",FIPS,"Food | Food at home (Household average), 2020","Food | Food away from home (Household average), 2020","Housing | Utilities, fuels, and public services (Household average), 2020","Median Household Income, 2020 [Estimated]","Population Density (per square mile), 2020 [Estimated]","Transportation | Gasoline, other fuels, and motor oil (Household average), 2020"
"CT400500, Baltimore County, MD",180,1438,2657,8,932,9.7297,72.6676,1.8917,13.9688,31.2932,2.2185,7.2202,2.1605,2.9153,89.4237,4.7458,0.8584,84488.982,24005400500,7013.5833,5703.0194,6246.8075,162311.0255,1187.0987,3520.7609
"CT400600, Baltimore County, MD",422,2121,3152,26,1177,19.3401,79.6591,8.2386,12.5611,26.0441,2.632,8.5792,2.9366,1.9608,86.7157,4.8529,2.209,72605.5447,24005400600,5803.6423,4716.0354,5188.1778,96308.45362,8426.0051,2680.3137
"CT400701, Baltimore County, MD",453,1658,2782,76,1218,23.6554,76.0956,8.3276,12.7494,26.2757,2.6047,8.1868,2.7126,2.9815,84.9135,5.4264,6.2397,67760.5545,24005400701,5908.7758,4615.8159,5203.4278,71096.9356,6071.717,2696.973
"CT400702, Baltimore County, MD",401,1039,2082,10,622,29.5723,65.7088,7.9733,13.2169,27.9039,2.4454,7.7962,2.5233,2.5739,86.4633,10.2955,1.6077,61948.5229,24005400702,5179.1928,3655.8365,4734.5687,99070.19571,7680.6729,2479.0243
"CT400800, Baltimore County, MD",473,1413,2755,52,955,24.2564,68.5666,3.2529,12.4912,26.5175,2.5351,8.273,2.8082,0,93.0565,0.5446,5.445,66679.7516,24005400800,5721.5922,4460.8607,5195.6126,73312,4844.5523,2825.464
"CT400900, Baltimore County, MD",158,930,1895,60,718,11.7211,62.4006,8.6319,12.2843,25.6726,2.6396,8.8608,3.0861,0,97.3945,2.4814,8.3565,74840.5804,24005400900,6502.9798,5057.5959,5437.782,85203.41215,4796.7397,2921.6369
"CT401000, Baltimore County, MD",319,1126,2300,26,775,17.7518,59.9599,8.6432,12.9117,27.6253,2.494,7.994,2.64,2.9285,83.8071,4.1344,3.3548,60904.8855,24005401000,5027.409,4169.2515,4591.2556,105668.2017,4394.3447,2468.1959
"CT401101, Baltimore County, MD",1323,3462,5408,164,1921,31.0563,69.1411,10.9342,12.4237,26.214,2.5449,8.3796,2.9132,5.9987,88.0983,2.2655,8.5372,63679.7561,24005401101,5651.2326,4196.6824,4873.0723,68296.12445,4781.0174,2432.2705
"CT401102, Baltimore County, MD",184,417,825,63,441,28.3513,61.5912,12.5899,11.5336,23.6134,2.7731,9.2713,3.3974,0.8949,92.3937,3.5794,14.2857,63866.0586,24005401102,5582.7274,4236.4472,4605.0085,46805.69848,616.7855,2308.1045
"CT401200, Baltimore County, MD",473,1692,3064,70,1077,22.556,67.5465,16.9004,12.7746,27.0768,2.5103,8.3196,2.8712,0,93.5685,5.1176,6.4995,67583.0631,24005401200,5330.3802,4096.7665,4979.952,80655.74862,4058.762,2582.4517
"CT401301, Baltimore County, MD",891,2349,4114,156,1464,30.3268,71.7502,10.9161,12.6182,26.477,2.5565,8.4741,2.9738,14.3089,74.7425,7.0461,10.6557,64207.7974,24005401301,5432.304,4141.3002,5006.33,60069.2,9218.6345,2442.5576
"CT401302, Baltimore County, MD",629,1689,2818,123,1345,30.653,67.8767,7.1225,11.7405,24.0427,2.7532,9.161,3.409,18.3292,72.9426,6.4214,9.145,62969.39,24005401302,5450.4255,4340.0876,4625.7888,53069.11576,12306.7517,2397.0742
"CT401400, Baltimore County, MD",195,1014,1622,0,582,17.5202,77.4079,1.6959,13.5294,30.0346,2.2837,7.3243,2.2513,2.873,90.9175,5.19,0,76398.9134,24005401400,6302.3372,4737.403,6036.5966,127843.8623,1506.0912,3266.4137
"CT401503, Baltimore County, MD",614,3411,6132,56,2649,13.0389,69.5557,0.1627,13.0881,28.354,2.4253,7.7773,2.4694,4,86.7077,9.0462,2.114,78743.3573,24005401503,6574.555,5044.9754,5804.6093,100301.6978,2458.1194,3207.9662
"CT401504, Baltimore County, MD",1134,3401,6535,117,2207,22.9091,70.3604,4.5089,13.1021,28.7064,2.3724,7.7843,2.4434,2.8676,93.4776,2.6989,5.3013,71198.4223,24005401504,5832.121,4662.349,5304.525,82810.77121,2979.4063,2813.1179
"CT401505, Baltimore County, MD",727,2055,4202,84,1494,23.0794,56.5349,13.8107,12.0639,25.9889,2.5369,8.4319,2.8419,1.9898,96.0204,0.6633,5.6225,61205.8849,24005401505,5320.7108,4179.7321,4661.056,64137.83976,4748.0226,2353.0169
"CT401506, Baltimore County, MD",885,3189,5071,96,1868,25.1206,76.8786,0,13.5385,28.0165,2.4945,8.0378,2.6807,4.2001,90.2533,5.4505,5.1392,71139.0224,24005401506,5759.9632,4461.8622,5127.5413,79686.11274,3722.7092,2815.6989
"CT401507, Baltimore County, MD",1679,3526,6394,93,1964,38.3596,68.9089,2.1835,12.3084,25.2118,2.6559,8.7516,3.012,12.3254,73.9522,2.6079,4.7352,64472.2967,24005401507,5686.4443,4215.0945,4874.9974,59363.91159,6098.2937,2462.5315
"CT402201, Baltimore County, MD",710,1824,3453,38,1030,29.0984,60.8339,14.0362,13.4322,30.0449,2.2821,7.5436,2.4144,2.157,90.8328,0,3.6893,62617.7253,24005402201,4917.8466,3898.7176,4540.3958,101101.5587,228.7826,2401.732
"CT402202, Baltimore County, MD",247,966,1569,1,556,20.3125,73.8132,3.3715,13.5692,30.1887,2.2799,7.5245,2.4054,1.634,80.2832,13.6166,0.1799,77608.638,24005402202,6558.6565,5319.8049,5901.8662,127712.6575,196.9161,3249.5181
"CT402302, Baltimore County, MD",1086,3170,5521,113,1837,29.9009,70.9131,9.6029,12.9359,27.6997,2.4466,8.1372,2.8045,10.6599,81.5567,5.2792,6.1513,69625.2314,24005402302,5852.1841,4769.504,5087.6257,87493.83561,4928.1442,2608.2875
"CT402303, Baltimore County, MD",1583,4031,6960,151,2628,30.9542,68.507,8.7958,12.6256,27.0549,2.4932,8.2469,2.8832,12.6192,73.8334,10.4867,5.7458,65598.6086,24005402303,5671.3548,4174.2048,4830.6802,66241.79459,6297.4457,2520.6399
"CT402304, Baltimore County, MD",762,1724,3515,42,1397,25.7519,60.5378,4.6526,11.9323,25.6911,2.5599,8.7124,3.1573,10.2139,84.6791,2.9676,3.0064,65728.996,24005402304,5395.9978,4563.3135,4898.2938,59261.01522,5908.854,2515.6374
"CT402305, Baltimore County, MD",335,1243,1992,116,779,24.5062,77.7439,6.1264,12.0201,24.5546,2.7102,8.9994,3.3189,6.7019,82.2751,1.7637,14.8909,66166.0743,24005402305,5361.4346,4518.8158,5065.1704,57233.5505,3203.8601,2467.0681
"CT402306, Baltimore County, MD",820,2016,4060,293,1619,30.3254,66.611,18.399,12.2778,25.3642,2.642,8.6967,3.1092,11.7534,84.9229,0.9634,18.0976,64416.6002,24005402306,5419.9303,4079.6989,4811.6934,52998.08114,8418.8699,2366.9402
"CT402307, Baltimore County, MD",1445,3548,6503,149,2305,34.032,69.6264,10.2518,12.4525,25.8082,2.607,8.5229,3.0224,20.8546,71.1941,5.2349,6.4642,64089.068,24005402307,5546.018,4232.0758,4852.6643,68395.24625,7554.4249,2499.1038
"CT402403, Baltimore County, MD",423,1116,1933,67,782,25.935,59.7633,11.0876,11.8107,25.4206,2.5701,8.8939,3.2675,17.0378,80.5421,1.0649,8.5678,66223.7315,24005402403,5426.5407,4255.5639,4929.6486,68138.81589,2446.4638,2624.5613
"CT402404, Baltimore County, MD",1117,2392,5077,100,2044,32.3768,55.7892,22.0599,12.0627,24.8387,2.6988,9.0432,3.3072,13.8808,82.7011,1.8758,4.8924,62952.0247,24005402404,5669.4318,4093.7401,4674.2928,55743.71283,7759.0818,2400.5913
